; CSV, generated by libsigrok4DSL 0.2.0 on Mon Dec 28 15:50:45 2020
; Channels (6/16)
; Sample rate: 10 MHz
; Sample count: 17.179832320 G Samples
Time(s), 0, 1, 2, 3, 4, 5
30.9141981,1,0,0,0,0,0
30.9644412,0,0,0,0,0,0
31.0145316,1,0,0,0,0,0
31.0646249,0,0,0,0,0,0
31.1147115,1,0,0,0,0,0
31.1649404,0,0,0,0,0,0
31.2150318,1,0,0,0,0,0
31.2651248,0,0,0,0,0,0
31.3152208,1,0,0,0,0,0
31.3654721,0,0,0,0,0,0
31.4155724,1,0,0,0,0,0
31.4656756,0,0,0,0,0,0
31.5157737,1,0,0,0,0,0
31.5660179,0,0,0,0,0,0
31.6161114,1,0,0,0,0,0
31.6661998,0,0,0,0,0,0
31.7162929,1,0,0,0,0,0
31.766555,0,0,0,0,0,0
31.8166538,1,0,0,0,0,0
31.8667541,0,0,0,0,0,0
31.9168485,1,0,0,0,0,0
31.9670929,0,0,0,0,0,0
32.0171887,1,0,0,0,0,0
32.0672919,0,0,0,0,0,0
32.1173978,1,0,0,0,0,0
32.1676558,0,0,0,0,0,0
32.2177544,1,0,0,0,0,0
32.2678593,0,0,0,0,0,0
32.3179602,1,0,0,0,0,0
32.368207,0,0,0,0,0,0
32.4183057,1,0,0,0,0,0
32.4684069,0,0,0,0,0,0
32.5185128,1,0,0,0,0,0
32.5687654,0,0,0,0,0,0
32.6188726,1,0,0,0,0,0
32.6689709,0,0,0,0,0,0
32.7190795,1,0,0,0,0,0
32.7693293,0,0,0,0,0,0
32.8194214,1,0,0,0,0,0
32.8695092,0,0,0,0,0,0
32.9195841,1,0,0,0,0,0
32.9698298,0,0,0,0,0,0
33.0199104,1,0,0,0,0,0
33.0699806,0,0,0,0,0,0
33.1200466,1,0,0,0,0,0
33.170266,0,0,0,0,0,0
33.2203366,1,0,0,0,0,0
33.2704128,0,0,0,0,0,0
33.3204947,1,0,0,0,0,0
33.370738,0,0,0,0,0,0
33.4208286,1,0,0,0,0,0
33.4709173,0,0,0,0,0,0
33.5210199,1,0,0,0,0,0
33.5712624,0,0,0,0,0,0
33.6213425,1,0,0,0,0,0
33.6714283,0,0,0,0,0,0
33.7215305,1,0,0,0,0,0
33.7717716,0,0,0,0,0,0
33.8218663,1,0,0,0,0,0
33.8719494,0,0,0,0,0,0
33.9220382,1,0,0,0,0,0
33.9722771,0,0,0,0,0,0
34.022359,1,0,0,0,0,0
34.0724541,0,0,0,0,0,0
