Time [s],Packet ID,MOSI,MISO
0.642651345,15,0xF2,0x00
0.685539575,16,0x55,0x55
0.685547580,16,0x6B,0x6B
0.685555580,16,0x7D,0x7D
0.685563585,16,0x91,0x91
0.685571585,16,0x71,0x71
0.685579585,16,0x04,0x04
0.685587590,16,0x68,0x68
0.685595590,16,0x7B,0x7B
0.685603595,16,0x5F,0x5F
0.685611595,16,0x7F,0x7F
0.685619595,16,0x53,0x53
0.685627600,16,0x53,0x53
0.685635600,16,0x7B,0x7B
0.685643605,16,0x40,0x40
0.685651605,16,0x80,0x80
0.685659610,16,0x60,0x60
0.685667610,16,0x30,0x30
0.685675610,16,0x10,0x10
0.685683615,16,0x4A,0x4A
0.685691615,16,0xEA,0xEA
0.685699620,16,0xB4,0xB4
0.685707620,16,0x42,0x42
0.685715625,16,0x32,0x32
0.685723625,16,0xA2,0xA2
0.685731625,16,0xB4,0xB4
0.685739630,16,0x22,0x22
0.685747630,16,0xA2,0xA2
0.685755635,16,0x6A,0x6A
0.685763635,16,0x00,0x00
0.685771640,16,0xC9,0x00
0.685779640,16,0x0A,0x00
0.685787640,16,0xF2,0x00
0.734927515,17,0x55,0x55
0.734935515,17,0x6B,0x6B
0.734943515,17,0x7D,0x7D
0.734951520,17,0x91,0x91
0.734959520,17,0x71,0x71
0.734967525,17,0x04,0x04
0.734975525,17,0x68,0x68
0.734983530,17,0x7B,0x7B
0.734991530,17,0x5F,0x5F
0.734999530,17,0x7F,0x7F
0.735007535,17,0x53,0x53
0.735015535,17,0x53,0x53
0.735023540,17,0x7B,0x7B
0.735031540,17,0x40,0x40
0.735039545,17,0x80,0x80
0.735047545,17,0x60,0x60
0.735055545,17,0x30,0x30
0.735063550,17,0x10,0x10
0.735071550,17,0x4A,0x4A
0.735079555,17,0xEA,0xEA
0.735087555,17,0xB4,0xB4
0.735095555,17,0x42,0x42
0.735103560,17,0x32,0x32
0.735111560,17,0xA2,0xA2
0.735119565,17,0xB4,0xB4
0.735127565,17,0x22,0x22
0.735135570,17,0xA2,0xA2
0.735143570,17,0x6A,0x6A
0.735151570,17,0x00,0x00
0.735159575,17,0xC9,0x00
0.735167575,17,0x0A,0x00
0.735175580,17,0xF2,0x00
0.783065120,18,0x55,0x55
0.783073125,18,0x6B,0x6B
0.783081125,18,0x7D,0x7D
0.783089130,18,0x91,0x91
0.783097130,18,0x71,0x71
0.783105135,18,0x04,0x04
0.783113135,18,0x68,0x68
0.783121135,18,0x7B,0x7B
0.783129140,18,0x5F,0x5F
0.783137140,18,0x7F,0x7F
0.783145145,18,0x53,0x53
0.783153145,18,0x53,0x53
0.783161145,18,0x7B,0x7B
0.783169150,18,0x40,0x40
0.783177150,18,0x80,0x80
0.783185155,18,0x60,0x60
0.783193155,18,0x30,0x30
0.783201160,18,0x10,0x10
0.783209160,18,0x4A,0x4A
0.783217160,18,0xEA,0xEA
0.783225165,18,0xB4,0xB4
0.783233165,18,0x42,0x42
0.783241170,18,0x32,0x32
0.783249170,18,0xA2,0xA2
0.783257175,18,0xB4,0xB4
0.783265175,18,0x22,0x22
0.783273175,18,0xA2,0xA2
0.783281180,18,0x6A,0x6A
0.783289180,18,0x00,0x00
0.783297185,18,0xC9,0x00
0.783305185,18,0x0A,0x00
0.783313185,18,0xF2,0x00
0.827451750,19,0x55,0x55
0.827459750,19,0x6B,0x6B
0.827467755,19,0x7D,0x7D
0.827475755,19,0x91,0x91
0.827483755,19,0x71,0x71
0.827491760,19,0x04,0x04
0.827499760,19,0x68,0x68
0.827507765,19,0x7B,0x7B
0.827515765,19,0x5F,0x5F
0.827523770,19,0x7F,0x7F
0.827531770,19,0x53,0x53
0.827539770,19,0x53,0x53
0.827547775,19,0x7B,0x7B
0.827555775,19,0x40,0x40
0.827563780,19,0x80,0x80
0.827571780,19,0x60,0x60
0.827579780,19,0x30,0x30
0.827587785,19,0x10,0x10
0.827595785,19,0x4A,0x4A
0.827603790,19,0xEA,0xEA
0.827611790,19,0xB4,0xB4
0.827619795,19,0x42,0x42
0.827627795,19,0x32,0x32
0.827635795,19,0xA2,0xA2
0.827643800,19,0xB4,0xB4
0.827651800,19,0x22,0x22
0.827659805,19,0xA2,0xA2
0.827667805,19,0x6A,0x6A
0.827675810,19,0x00,0x00
0.827683810,19,0xC9,0x00
0.827691810,19,0x0A,0x00
0.827699815,19,0xF2,0x00
0.872463540,20,0x55,0x55
0.872471540,20,0x6B,0x6B
0.872479545,20,0x7D,0x7D
0.872487545,20,0x91,0x91
0.872495545,20,0x71,0x71
0.872503550,20,0x04,0x04
0.872511550,20,0x68,0x68
0.872519555,20,0x7B,0x7B
0.872527555,20,0x5F,0x5F
0.872535560,20,0x7F,0x7F
0.872543560,20,0x53,0x53
0.872551560,20,0x53,0x53
0.872559565,20,0x7B,0x7B
0.872567565,20,0x40,0x40
0.872575570,20,0x80,0x80
0.872583570,20,0x60,0x60
0.872591575,20,0x30,0x30
0.872599575,20,0x10,0x10
0.872607575,20,0x4A,0x4A
0.872615580,20,0xEA,0xEA
0.872623580,20,0xB4,0xB4
0.872631585,20,0x42,0x42
0.872639585,20,0x32,0x32
0.872647590,20,0xA2,0xA2
0.872655590,20,0xB4,0xB4
0.872663590,20,0x22,0x22
0.872671595,20,0xA2,0xA2
0.872679595,20,0x6A,0x6A
0.872687600,20,0x00,0x00
0.872695600,20,0xC9,0x00
0.872703600,20,0x0A,0x00
0.872711605,20,0xF2,0x00
0.916225000,21,0x55,0x55
0.916233005,21,0x6B,0x6B
0.916241005,21,0x7D,0x7D
0.916249010,21,0x91,0x91
0.916257010,21,0x71,0x71
0.916265010,21,0x04,0x04
0.916273015,21,0x68,0x68
0.916281015,21,0x7B,0x7B
0.916289020,21,0x5F,0x5F
0.916297020,21,0x7F,0x7F
0.916305025,21,0x53,0x53
0.916313025,21,0x53,0x53
0.916321025,21,0x7B,0x7B
0.916329030,21,0x40,0x40
0.916337030,21,0x80,0x80
0.916345035,21,0x60,0x60
0.916353035,21,0x30,0x30
0.916361040,21,0x10,0x10
0.916369040,21,0x4A,0x4A
0.916377040,21,0xEA,0xEA
0.916385045,21,0xB4,0xB4
0.916393045,21,0x42,0x42
0.916401050,21,0x32,0x32
0.916409050,21,0xA2,0xA2
0.916417050,21,0xB4,0xB4
0.916425055,21,0x22,0x22
0.916433055,21,0xA2,0xA2
0.916441060,21,0x6A,0x6A
0.916449060,21,0x00,0x00
0.916457065,21,0xC9,0x00
0.916465065,21,0x0A,0x00
0.916473065,21,0xF2,0x00
